Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belarus,BLR,50325.9016206011,49080.5281170742,50347.8607756314,51712.5125351445,52435.8402895545,52471.3993087717,54136.8684642268,51767.1980911894,54386.7983317778,56968.0078728286
Belize,BLZ,30666.0821435448,29301.3467689214,27812.2810207784,26573.5841008858,26369.7321879891,24538.522747626,29383.6242029365,30709.1496897868,29945.535136725,31347.1771925391
Bolivia,BOL,20734.4438216101,21332.1154128054,21428.6817689461,20915.9696426745,20347.6657285822,19443.7772008795,18501.8544434328,18453.7980039769,18543.6167998285,18383.6885238898
Brazil,BRA,40241.3603240311,39749.3215058047,40207.0253818843,40287.8207414582,39945.5086419838,41893.3237282763,41904.8315182294,40322.9212545869,41147.6933819408,42228.5579790539
Barbados,BRB,38713.252385521,38154.8005898944,38113.9554373639,37623.8667481583,38213.5308555454,33387.0598378535,33002.4090513931,38698.0690901558,39911.1572151444,41377.275215813
Brunei,BRN,176841.433728144,171581.196120316,172848.901924822,165771.589759565,169846.447524136,172701.764452571,163716.818724286,159454.946932874,159908.131702399,165413.021946675
Bhutan,BTN,27561.85031641,29571.1248532552,29849.4141791747,30532.0460441175,29729.1179836934,26297.0195518952,26460.5789084791,30393.8934192437,29616.6444628144,
Botswana,BWA,48324.1729847668,50977.7941233764,52094.6315505252,52985.9281020112,53491.737561241,49768.2284325771,54141.6906839422,55903.1010293384,53442.7715816811,50517.2387518872
Central African Rep.,CAF,2938.71763499648,3023.32542171542,3110.2466852684,3172.34254763292,3228.65003736153,3248.78805562294,3241.95484832648,3232.77447598942,3216.83608421757,3148.44269089091
Canada,CAN,108376.954745707,108776.054517772,109696.896761305,110704.699657944,110430.50597969,111042.871118821,112202.165429966,111740.979520838,109849.073990664,109417.106590483
Switzerland,CHE,138474.217481298,139096.177668694,139845.253851302,142685.245692624,143411.166919806,140669.813316908,148833.523100289,152542.945174907,149788.796543549,149970.218485712
Chile,CHL,59739.3590035533,59993.1837305469,59228.2679865208,60250.5717770307,59490.6161227729,64093.5695077388,68026.3944331136,65161.2748054022,63928.4562533417,65020.9966667894
China,CHN,27525.944530077,29368.9159267195,31434.1717019663,33601.3928369762,35777.2153203047,37365.9271812942,39480.6030794518,41490.2318856884,43341.4185386626,45494.3319336861
Côte d'Ivoire,CIV,13564.6607924727,14077.1274275355,15083.6351340213,15487.5755387198,16182.2996411821,15804.1073863294,16085.1469306257,16422.8570880849,16998.5268945658,17471.8796870819
Cameroon,CMR,12042.2619905425,12355.6086635185,12591.4061261742,12888.2282500309,13117.9581089333,13084.1288146246,13249.3626608424,13207.2195559923,13221.3136424701,13354.678499246
Dem. Rep. Congo,COD,3720.08534889104,3676.16167173053,3674.53503042314,3763.42889910093,3810.67546093952,3943.9346302363,3911.46579745078,4106.4598342022,4325.13105894398,4467.73715351501
Congo,COG,28333.0306065876,25377.4582603396,23506.6926239999,22426.9337096227,22023.7335388255,20958.6278027823,20410.5952120964,19452.0246294062,19166.4484203895,19016.1242849494
Colombia,COL,36355.5637432912,36943.6403776327,36903.5625254914,37412.4444096565,38575.0512486464,38004.1223580052,39876.7885971864,41331.834908291,40161.956355701,40362.6598416382
